Config_Name,Pass@1,AUROC,TPR(FPR<0.1%),TPR(FPR<1%),TPR(FPR<5%)
g0.25_d3.0_t0.6_w0.7,0.261,0.8389351576442594,0.4268292682926829,0.45121951219512196,0.5792682926829268,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d3.0_t0.6_w0.8,0.2402,0.8525803093396787,0.42073170731707316,0.4451219512195122,0.6219512195121951,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d3.0_t0.8_w0.7,0.2835,0.8662998215348007,0.5060975609756098,0.5060975609756098,0.573170731707317,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.25_d3.0_t0.8_w0.8,0.2878,0.8602580309339679,0.5060975609756098,0.5060975609756098,0.6097560975609756,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.35_d2.0_t0.6_w0.5,0.2817,0.8157160916121355,0.1524390243902439,0.21951219512195122,0.524390243902439,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.0_t0.6_w0.5,0.2549,0.7275988994646043,0.09146341463414634,0.11585365853658537,0.3170731707317073,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.0_t0.6_w0.7,0.2732,0.7001784651992862,0.1524390243902439,0.17682926829268292,0.3048780487804878,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.0_t0.7_w0.5,0.2555,0.7188987209994051,0.09146341463414634,0.12804878048780488,0.38414634146341464,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.0_t0.7_w0.7,0.2695,0.6763831052944675,0.15853658536585366,0.15853658536585366,0.27439024390243905,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.0_t0.8_w0.5,0.2787,0.7075959250446162,0.10365853658536585,0.1951219512195122,0.38414634146341464,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.0_t0.8_w0.7,0.2823,0.7012938726948245,0.23170731707317074,0.2804878048780488,0.3597560975609756,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.5_t0.6_w0.5,0.236,0.7361689470553243,0.1524390243902439,0.18292682926829268,0.4329268292682927,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.5_t0.6_w0.7,0.2488,0.7406491671624033,0.23780487804878048,0.2621951219512195,0.42073170731707316,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.5_t0.7_w0.5,0.2384,0.764797739440809,0.15853658536585366,0.20121951219512196,0.4695121951219512,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.5_t0.7_w0.7,0.2323,0.7307034503271861,0.22560975609756098,0.25,0.36585365853658536,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.5_t0.8_w0.5,0.2665,0.7512083581201665,0.1524390243902439,0.23170731707317074,0.4695121951219512,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.3_d2.5_t0.8_w0.7,0.2598,0.7130614217727543,0.29878048780487804,0.3353658536585366,0.36585365853658536,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d2.5_t0.5_w0.7,0.2646,0.8051569006543723,0.2621951219512195,0.3780487804878049,0.4878048780487805,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d2.5_t0.5_w0.8,0.2598,0.8011042534205829,0.23780487804878048,0.3048780487804878,0.5121951219512195,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d2.5_t0.6_w0.7,0.2799,0.8022010707911957,0.25609756097560976,0.3780487804878049,0.5182926829268293,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.4_d2.5_t0.6_w0.8,0.2768,0.7745575550267697,0.22560975609756098,0.22560975609756098,0.5182926829268293,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
